,event_id,index,period_id,timestamp,minute,second,possession,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,duration,related_events,player,position,location,pass,carry,under_pressure,ball_receipt,counterpress,duel,miscontrol,dribble,interception,shot,goalkeeper,off_camera,clearance,out,ball_recovery,foul_won,50_50,injury_stoppage,foul_committed,substitution,bad_behaviour,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,tactics,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,miscontrol_aerial_won,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_nutmeg,ball_recovery_recovery_failure,pass_cross,pass_xclaim,clearance_left_foot,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_statsbomb_xg2,shot_key_pass_id,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_shot_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,duel_outcome_id,duel_outcome_name,foul_won_defensive,clearance_right_foot,pass_straight,shot_one_on_one,50_50_outcome_id,50_50_outcome_name,injury_stoppage_in_chain,dribble_no_touch,clearance_aerial_won,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_miscommunication,pass_cut_back,dribble_overrun,pass_outswinging,freeze_frame_360,visible_area_360,extra,game_id
994,7b36043f-218a-47b3-badb-d935a5876859,995,1,1681345372850,22,52,48,0.018420998,0.014966328,0.0034546703,0.008980458,0.010609784,-0.0016293265,0.005083997,1.381293,"['3d713a96-5ba7-4fec-bb1e-666305af58db', '45139a54-0ce3-4d6b-bd2d-9eb4a28b4cd4', '9ff8a733-90ef-4825-9345-616d5c42f23d', 'c5818e7f-3b2d-4d1c-81be-25d2c1749eff']",,,"[68.3, 73.8]",,,1.0,,,,,,,,,,,,,,,,,,,43,Carry,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,,221888.0,Kerstin Yasmijn Casparij,2.0,Right Back,,,,,,,,,,,,"[72.7, 73.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
995,45139a54-0ce3-4d6b-bd2d-9eb4a28b4cd4,996,1,1681345374231,22,54,48,0.014488696,0.018420998,-0.003932302,0.008152065,0.008980458,-0.0008283928,-0.003103909,0.828525,"['82fb53fa-7f5e-4db1-9c7e-f1f1e5c87709', '9ccfde04-4e3a-4dcc-812b-1d4f80198795']",,,"[72.7, 73.8]",,,,,,,,,,,,,,,,,,,,,,30,Pass,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,,221888.0,Kerstin Yasmijn Casparij,2.0,Right Back,15570.0,Chloe Kelly,9.008884,0.044415217,1.0,Ground Pass,"[81.7, 74.2]",,,38.0,Left Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
996,82fb53fa-7f5e-4db1-9c7e-f1f1e5c87709,997,1,1681345375060,22,55,48,,,,,,,,,['45139a54-0ce3-4d6b-bd2d-9eb4a28b4cd4'],,,"[85.0, 74.2]",,,,,,,,,,,,,,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,,15570.0,Chloe Kelly,17.0,Right Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
997,9ccfde04-4e3a-4dcc-812b-1d4f80198795,998,1,1681345375060,22,55,48,0.008152065,0.008980458,-0.0008283928,0.014488696,0.018420998,-0.003932302,0.003103909,0.0,['45139a54-0ce3-4d6b-bd2d-9eb4a28b4cd4'],,,"[38.4, 5.9]",,,,,,,,,,,,,,,,,,,,,,10,Interception,746,Manchester City WFC,1,Regular Play,968,Arsenal WFC,,,,131570.0,Rafaelle Leone Carvalho Souza,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
998,a520625f-a236-4566-9b08-f3c8e7658722,999,1,1681345392108,23,12,48,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,40,Injury Stoppage,746,Manchester City WFC,1,Regular Play,968,Arsenal WFC,,,,10237.0,Manuela Zinsberger,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
999,f6c79f91-cfe8-4140-8fb6-2f50326e779b,1000,1,1681345394658,23,14,48,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,40,Injury Stoppage,746,Manchester City WFC,1,Regular Play,746,Manchester City WFC,,,,4637.0,Ellie Roebuck,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
1000,9b575bfa-6733-4266-b4e7-d767d388673f,1001,1,1681345511825,25,11,49,0.02120237,0.014488696,0.0067136744,0.008967159,0.008152065,0.0008150944,0.00589858,1.292582,['1a4bc157-0e03-438f-a224-93112a14f8cb'],,,"[85.8, 80.0]",,,,,,,,,,,,1.0,,,,,,,,,,30,Pass,746,Manchester City WFC,4,From Throw In,746,Manchester City WFC,,,,221888.0,Kerstin Yasmijn Casparij,2.0,Right Back,25632.0,Yui Hasegawa,8.065358,-1.9121522,2.0,Low Pass,"[83.1, 72.4]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
1001,1a4bc157-0e03-438f-a224-93112a14f8cb,1002,1,1681345513118,25,13,49,,,,,,,,,['9b575bfa-6733-4266-b4e7-d767d388673f'],,,"[83.1, 72.4]",,,,,,,,,,,,,,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,4,From Throw In,746,Manchester City WFC,,,,25632.0,Yui Hasegawa,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
1002,7b649c5d-1e9e-4625-9c4d-ddbd059fc57e,1003,1,1681345513283,25,13,49,0.018358078,0.02120237,-0.0028442927,0.009007199,0.008967159,4.00394e-05,-0.002884332,0.39991,['52fd2af8-97d5-4aa1-914d-e3842129706f'],,,"[81.3, 72.4]",,,,,,,,,,,,1.0,,,,,,,,,,30,Pass,746,Manchester City WFC,4,From Throw In,746,Manchester City WFC,,,,25632.0,Yui Hasegawa,10.0,Center Defensive Midfield,221888.0,Kerstin Yasmijn Casparij,3.1241,2.2655346,1.0,Ground Pass,"[79.3, 74.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
1003,52fd2af8-97d5-4aa1-914d-e3842129706f,1004,1,1681345513683,25,13,49,,,,,,,,,['7b649c5d-1e9e-4625-9c4d-ddbd059fc57e'],,,"[79.3, 74.8]",,,,,,,,,,,,,,,,,,,,,,42,Ball Receipt*,746,Manchester City WFC,4,From Throw In,746,Manchester City WFC,,,,221888.0,Kerstin Yasmijn Casparij,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],{},3852832
