,possession,team_name,obv_total_net_sum,obv_total_net_mean,possession minute,possession second,possession end minute,possession end second
71,51,Arsenal WFC,0.31197613,0.31197613,25,46,25,49
72,51,Manchester City WFC,0.34672205700000003,0.11557401900000001,25,46,25,49
73,52,Arsenal WFC,0.0364925328,0.0182462664,26,19,26,43
74,52,Manchester City WFC,-0.0179768298,-0.0029961383,26,19,26,43
75,53,Arsenal WFC,0.0008821262999999992,8.019329999999994e-05,26,43,27,14
76,53,Manchester City WFC,0.016531841000000005,0.004132960250000001,26,43,27,14
77,54,Arsenal WFC,-0.009228747999999998,-0.0007690623333333332,27,15,28,28
78,54,Manchester City WFC,0.0334582089,0.0009559488257142858,27,15,28,28
79,55,Arsenal WFC,0.005821136999999997,0.0011642273999999994,29,3,30,18
80,55,Manchester City WFC,-0.0434838675,-0.0009663081666666667,29,3,30,18
81,56,Manchester City WFC,0.0028904919999999945,0.0007226229999999986,31,0,31,6
82,60,Arsenal WFC,0.1508022494,0.010771589242857144,33,49,34,8
83,61,Manchester City WFC,-0.0114090321,-0.0006004753736842106,34,10,34,36
84,62,Arsenal WFC,-0.002672748800000002,-0.0002429771636363638,34,36,34,52
85,63,Arsenal WFC,0.0005101906,0.0005101906,34,58,35,12
86,63,Manchester City WFC,-0.0026780272,-0.00026780272,34,58,35,12
87,64,Arsenal WFC,-0.028732782,-0.028732782,35,17,35,33
88,64,Manchester City WFC,0.007162778599999996,0.0014325557199999991,35,17,35,33
89,65,Manchester City WFC,-0.022738273799999997,-0.0028422842249999996,36,11,36,22
90,66,Arsenal WFC,0.041406240999999996,0.010351560249999999,36,23,36,33
91,66,Manchester City WFC,-0.0073504015,-0.0073504015,36,23,36,33
92,67,Arsenal WFC,-0.015084227799999999,-0.000603369112,36,46,37,25
93,68,Manchester City WFC,-0.0039172544,-0.00015669017600000002,37,25,37,58
94,69,Arsenal WFC,0.0126797915,0.003169947875,37,58,38,3
95,69,Manchester City WFC,-0.007867251,-0.007867251,37,58,38,3
96,70,Arsenal WFC,-0.0056742663,-0.0056742663,38,46,38,48
97,70,Manchester City WFC,0.0056742663,0.0056742663,38,46,38,48
98,71,Arsenal WFC,-0.0021904502,-0.0021904502,38,50,39,10
99,71,Manchester City WFC,0.0032679206000000003,0.0005446534333333334,38,50,39,10
100,72,Manchester City WFC,-0.0023738284999999994,-0.00039563808333333326,39,26,39,34
101,73,Arsenal WFC,0.021114276200000004,0.0008445710480000001,39,34,40,17
102,73,Manchester City WFC,-0.0015885578,-0.0015885578,39,34,40,17
103,74,Arsenal WFC,-0.006366484800000001,-0.0012732969600000002,40,57,42,5
104,74,Manchester City WFC,0.002780091,9.266970000000001e-05,40,57,42,5
105,75,Arsenal WFC,0.0010468419999999992,0.0005234209999999996,42,9,42,13
106,76,Arsenal WFC,-0.231762031,-0.07725401033333333,42,13,42,34
107,76,Manchester City WFC,0.7968940773,0.0612995444076923,42,13,42,34
108,77,Arsenal WFC,0.0235244615,0.003360637357142857,43,37,43,52
109,77,Manchester City WFC,-0.011063059,-0.011063059,43,37,43,52
110,78,Arsenal WFC,-0.0003030207,-0.0003030207,43,52,44,8
111,78,Manchester City WFC,0.008006378599999999,0.0008895976222222221,43,52,44,8
112,79,Arsenal WFC,0.0072285583,0.00361427915,44,8,44,11
113,79,Manchester City WFC,0.0048999917,0.0048999917,44,8,44,11
114,80,Arsenal WFC,0.0098420123,0.0003785389346153846,44,14,45,8
115,80,Manchester City WFC,0.0048544867000000005,0.0012136216750000001,44,14,45,8
116,83,Arsenal WFC,-0.0101619607,-0.00044182437826086957,47,2,47,55
117,83,Manchester City WFC,0.029174591,0.0058349182,47,2,47,55
118,84,Arsenal WFC,-0.00014819389999999946,-7.409694999999973e-05,48,13,48,19
119,85,Arsenal WFC,0.039339291900000004,0.013113097300000001,48,56,49,9
120,85,Manchester City WFC,0.04493003069999999,0.006418575814285713,48,56,49,9
121,86,Arsenal WFC,0.0152246501,0.005074883366666667,49,31,49,43
122,86,Manchester City WFC,-0.006019828500000001,-0.0006019828500000001,49,31,49,43
123,87,Manchester City WFC,-0.0002652453,-0.0002652453,50,0,50,2
124,88,Arsenal WFC,-0.0093609373,-0.0010401041444444445,50,2,50,18
125,89,Arsenal WFC,-0.0009377915,-0.0009377915,50,18,50,21
126,89,Manchester City WFC,0.0057741268,0.0014435317,50,18,50,21
127,90,Arsenal WFC,0.009253167800000002,0.0023132919500000004,50,34,50,44
128,90,Manchester City WFC,-0.005172276700000002,-0.0010344553400000005,50,34,50,44
129,92,Arsenal WFC,0.025400276700000002,0.0016933517800000002,45,0,45,26
130,92,Manchester City WFC,-0.009815529199999999,-0.0024538822999999998,45,0,45,26
131,93,Arsenal WFC,-0.005103578,-0.005103578,45,45,45,59
132,93,Manchester City WFC,-0.0013981259,-0.00015534732222222223,45,45,45,59
133,94,Arsenal WFC,0.011115141899999997,0.0005052337227272726,45,59,46,28
134,94,Manchester City WFC,0.0033144894999999996,0.0016572447499999998,45,59,46,28
135,95,Arsenal WFC,0.0070596538,0.0002521304928571429,46,44,47,35
136,96,Arsenal WFC,0.0098630919,0.00493154595,47,35,48,36
137,96,Manchester City WFC,0.023814086200000004,0.0008820031925925927,47,35,48,36
138,97,Arsenal WFC,-0.008538506099999999,-0.00142308435,48,36,48,44
139,98,Arsenal WFC,-0.006832173,-0.006832173,48,44,48,48
140,98,Manchester City WFC,0.0012892628999999984,0.00021487714999999974,48,44,48,48
141,99,Arsenal WFC,0.0450247477,0.02251237385,48,50,48,51
142,99,Manchester City WFC,-0.0052463547,-0.0052463547,48,50,48,51
143,100,Arsenal WFC,0.0043932115999999995,0.0010983028999999999,49,6,49,17
144,100,Manchester City WFC,-0.0014215615,-0.0014215615,49,6,49,17
145,101,Arsenal WFC,-0.0107832774,-0.0015404682,49,27,49,43
146,101,Manchester City WFC,0.18074615,0.18074615,49,27,49,43
147,102,Arsenal WFC,-0.025277034,-0.008425678,50,26,50,32
148,102,Manchester City WFC,0.015118421,0.015118421,50,26,50,32
149,103,Arsenal WFC,-0.0015930822,-0.0007965411,50,32,51,34
150,103,Manchester City WFC,0.07870804890000001,0.006054465300000001,50,32,51,34
